run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-18-20200611-17:03:32-15956,runattr,,,seedset,18,,,,,,,
General-18-20200611-17:03:32-15956,param,,,**.nUsers,10,,,,,,,
General-18-20200611-17:03:32-15956,param,,,**.timeslot,1ms,,,,,,,
General-18-20200611-17:03:32-15956,param,,,**.lambda,2ms,,,,,,,
General-18-20200611-17:03:32-15956,param,,,**.successProbGroup1,0.15,,,,,,,
General-18-20200611-17:03:32-15956,param,,,**.successProbGroup2,0,,,,,,,
General-18-20200611-17:03:32-15956,param,,,**.successProbGroup3,0.85,,,,,,,
General-18-20200611-17:03:32-15956,param,,,**.isBinomial,true,,,,,,,
General-10-20200611-17:02:53-5156,runattr,,,configname,General,,,,,,,
General-10-20200611-17:02:53-5156,runattr,,,datetime,20200611-17:02:53,,,,,,,
General-10-20200611-17:02:53-5156,runattr,,,experiment,General,,,,,,,
General-10-20200611-17:02:53-5156,runattr,,,inifile,omnetpp.ini,,,,,,,
General-10-20200611-17:02:53-5156,runattr,,,iterationvars,$0=2ms,,,,,,,
General-10-20200611-17:02:53-5156,runattr,,,iterationvarsf,2ms-,,,,,,,
General-10-20200611-17:02:53-5156,runattr,,,measurement,$0=2ms,,,,,,,
General-10-20200611-17:02:53-5156,runattr,,,network,CellularNetwork,,,,,,,
General-10-20200611-17:02:53-5156,runattr,,,processid,5156,,,,,,,
General-10-20200611-17:02:53-5156,runattr,,,repetition,10,,,,,,,
General-10-20200611-17:02:53-5156,runattr,,,replication,#10,,,,,,,
General-10-20200611-17:02:53-5156,runattr,,,resultdir,results,,,,,,,
General-10-20200611-17:02:53-5156,runattr,,,runnumber,10,,,,,,,
General-10-20200611-17:02:53-5156,runattr,,,seedset,10,,,,,,,
General-10-20200611-17:02:53-5156,param,,,**.nUsers,10,,,,,,,
General-10-20200611-17:02:53-5156,param,,,**.timeslot,1ms,,,,,,,
General-10-20200611-17:02:53-5156,param,,,**.lambda,2ms,,,,,,,
General-10-20200611-17:02:53-5156,param,,,**.successProbGroup1,0.15,,,,,,,
General-10-20200611-17:02:53-5156,param,,,**.successProbGroup2,0,,,,,,,
General-10-20200611-17:02:53-5156,param,,,**.successProbGroup3,0.85,,,,,,,
General-10-20200611-17:02:53-5156,param,,,**.isBinomial,true,,,,,,,
General-16-20200611-17:03:23-18968,runattr,,,configname,General,,,,,,,
General-16-20200611-17:03:23-18968,runattr,,,datetime,20200611-17:03:23,,,,,,,
General-16-20200611-17:03:23-18968,runattr,,,experiment,General,,,,,,,
General-16-20200611-17:03:23-18968,runattr,,,inifile,omnetpp.ini,,,,,,,
General-16-20200611-17:03:23-18968,runattr,,,iterationvars,$0=2ms,,,,,,,
General-16-20200611-17:03:23-18968,runattr,,,iterationvarsf,2ms-,,,,,,,
General-16-20200611-17:03:23-18968,runattr,,,measurement,$0=2ms,,,,,,,
General-16-20200611-17:03:23-18968,runattr,,,network,CellularNetwork,,,,,,,
General-16-20200611-17:03:23-18968,runattr,,,processid,18968,,,,,,,
General-16-20200611-17:03:23-18968,runattr,,,repetition,16,,,,,,,
General-16-20200611-17:03:23-18968,runattr,,,replication,#16,,,,,,,
General-16-20200611-17:03:23-18968,runattr,,,resultdir,results,,,,,,,
General-16-20200611-17:03:23-18968,runattr,,,runnumber,16,,,,,,,
General-16-20200611-17:03:23-18968,runattr,,,seedset,16,,,,,,,
General-16-20200611-17:03:23-18968,param,,,**.nUsers,10,,,,,,,
General-16-20200611-17:03:23-18968,param,,,**.timeslot,1ms,,,,,,,
General-16-20200611-17:03:23-18968,param,,,**.lambda,2ms,,,,,,,
General-16-20200611-17:03:23-18968,param,,,**.successProbGroup1,0.15,,,,,,,
General-16-20200611-17:03:23-18968,param,,,**.successProbGroup2,0,,,,,,,
General-16-20200611-17:03:23-18968,param,,,**.successProbGroup3,0.85,,,,,,,
General-16-20200611-17:03:23-18968,param,,,**.isBinomial,true,,,,,,,
