run,type,module,name,attrname,attrvalue,value
General-0-20200127-16:40:04-19224,param,,,**.nUsers,10,
General-0-20200127-16:40:04-19224,param,,,**.antenna.timeslot,1ms,
General-0-20200127-16:40:04-19224,param,,,**.antenna.lambda,2ms,
General-0-20200127-16:40:04-19224,param,,,**.antenna.successProbGroup1,0.2,
General-0-20200127-16:40:04-19224,param,,,**.antenna.successProbGroup2,0.5,
General-0-20200127-16:40:04-19224,param,,,**.antenna.successProbGroup3,0.9,
General-0-20200127-16:40:04-19224,param,,,**.antenna.isBinomial,true,
General-10-20200127-16:41:01-3472,runattr,,,configname,General,
General-10-20200127-16:41:01-3472,runattr,,,datetime,20200127-16:41:01,
General-10-20200127-16:41:01-3472,runattr,,,experiment,General,
General-10-20200127-16:41:01-3472,runattr,,,inifile,omnetpp.ini,
General-10-20200127-16:41:01-3472,runattr,,,iterationvars,,
General-10-20200127-16:41:01-3472,runattr,,,iterationvarsf,,
General-10-20200127-16:41:01-3472,runattr,,,measurement,,
General-10-20200127-16:41:01-3472,runattr,,,network,CellularNetwork,
General-10-20200127-16:41:01-3472,runattr,,,processid,3472,
General-10-20200127-16:41:01-3472,runattr,,,repetition,10,
General-10-20200127-16:41:01-3472,runattr,,,replication,#10,
General-10-20200127-16:41:01-3472,runattr,,,resultdir,results,
General-10-20200127-16:41:01-3472,runattr,,,runnumber,10,
General-10-20200127-16:41:01-3472,runattr,,,seedset,10,
General-10-20200127-16:41:01-3472,param,,,**.nUsers,10,
General-10-20200127-16:41:01-3472,param,,,**.antenna.timeslot,1ms,
General-10-20200127-16:41:01-3472,param,,,**.antenna.lambda,2ms,
General-10-20200127-16:41:01-3472,param,,,**.antenna.successProbGroup1,0.2,
General-10-20200127-16:41:01-3472,param,,,**.antenna.successProbGroup2,0.5,
General-10-20200127-16:41:01-3472,param,,,**.antenna.successProbGroup3,0.9,
General-10-20200127-16:41:01-3472,param,,,**.antenna.isBinomial,true,
General-16-20200127-16:41:38-18672,runattr,,,configname,General,
General-16-20200127-16:41:38-18672,runattr,,,datetime,20200127-16:41:38,
General-16-20200127-16:41:38-18672,runattr,,,experiment,General,
General-16-20200127-16:41:38-18672,runattr,,,inifile,omnetpp.ini,
General-16-20200127-16:41:38-18672,runattr,,,iterationvars,,
General-16-20200127-16:41:38-18672,runattr,,,iterationvarsf,,
General-16-20200127-16:41:38-18672,runattr,,,measurement,,
General-16-20200127-16:41:38-18672,runattr,,,network,CellularNetwork,
General-16-20200127-16:41:38-18672,runattr,,,processid,18672,
General-16-20200127-16:41:38-18672,runattr,,,repetition,16,
General-16-20200127-16:41:38-18672,runattr,,,replication,#16,
General-16-20200127-16:41:38-18672,runattr,,,resultdir,results,
General-16-20200127-16:41:38-18672,runattr,,,runnumber,16,
General-16-20200127-16:41:38-18672,runattr,,,seedset,16,
General-16-20200127-16:41:38-18672,param,,,**.nUsers,10,
General-16-20200127-16:41:38-18672,param,,,**.antenna.timeslot,1ms,
General-16-20200127-16:41:38-18672,param,,,**.antenna.lambda,2ms,
General-16-20200127-16:41:38-18672,param,,,**.antenna.successProbGroup1,0.2,
General-16-20200127-16:41:38-18672,param,,,**.antenna.successProbGroup2,0.5,
General-16-20200127-16:41:38-18672,param,,,**.antenna.successProbGroup3,0.9,
General-16-20200127-16:41:38-18672,param,,,**.antenna.isBinomial,true,
General-15-20200127-16:41:32-14808,runattr,,,configname,General,
General-15-20200127-16:41:32-14808,runattr,,,datetime,20200127-16:41:32,
General-15-20200127-16:41:32-14808,runattr,,,experiment,General,
General-15-20200127-16:41:32-14808,runattr,,,inifile,omnetpp.ini,
General-15-20200127-16:41:32-14808,runattr,,,iterationvars,,
General-15-20200127-16:41:32-14808,runattr,,,iterationvarsf,,
General-15-20200127-16:41:32-14808,runattr,,,measurement,,
General-15-20200127-16:41:32-14808,runattr,,,network,CellularNetwork,
General-15-20200127-16:41:32-14808,runattr,,,processid,14808,
General-15-20200127-16:41:32-14808,runattr,,,repetition,15,
General-15-20200127-16:41:32-14808,runattr,,,replication,#15,
General-15-20200127-16:41:32-14808,runattr,,,resultdir,results,
General-15-20200127-16:41:32-14808,runattr,,,runnumber,15,
General-15-20200127-16:41:32-14808,runattr,,,seedset,15,
General-15-20200127-16:41:32-14808,param,,,**.nUsers,10,
General-15-20200127-16:41:32-14808,param,,,**.antenna.timeslot,1ms,
General-15-20200127-16:41:32-14808,param,,,**.antenna.lambda,2ms,
General-15-20200127-16:41:32-14808,param,,,**.antenna.successProbGroup1,0.2,
General-15-20200127-16:41:32-14808,param,,,**.antenna.successProbGroup2,0.5,
General-15-20200127-16:41:32-14808,param,,,**.antenna.successProbGroup3,0.9,
General-15-20200127-16:41:32-14808,param,,,**.antenna.isBinomial,true,
General-17-20200127-16:41:44-16436,runattr,,,configname,General,
General-17-20200127-16:41:44-16436,runattr,,,datetime,20200127-16:41:44,
General-17-20200127-16:41:44-16436,runattr,,,experiment,General,
General-17-20200127-16:41:44-16436,runattr,,,inifile,omnetpp.ini,
General-17-20200127-16:41:44-16436,runattr,,,iterationvars,,
General-17-20200127-16:41:44-16436,runattr,,,iterationvarsf,,
General-17-20200127-16:41:44-16436,runattr,,,measurement,,
General-17-20200127-16:41:44-16436,runattr,,,network,CellularNetwork,
General-17-20200127-16:41:44-16436,runattr,,,processid,16436,
General-17-20200127-16:41:44-16436,runattr,,,repetition,17,
General-17-20200127-16:41:44-16436,runattr,,,replication,#17,
General-17-20200127-16:41:44-16436,runattr,,,resultdir,results,
General-17-20200127-16:41:44-16436,runattr,,,runnumber,17,
General-17-20200127-16:41:44-16436,runattr,,,seedset,17,
General-17-20200127-16:41:44-16436,param,,,**.nUsers,10,
General-17-20200127-16:41:44-16436,param,,,**.antenna.timeslot,1ms,
General-17-20200127-16:41:44-16436,param,,,**.antenna.lambda,2ms,
General-17-20200127-16:41:44-16436,param,,,**.antenna.successProbGroup1,0.2,
General-17-20200127-16:41:44-16436,param,,,**.antenna.successProbGroup2,0.5,
General-17-20200127-16:41:44-16436,param,,,**.antenna.successProbGroup3,0.9,
General-17-20200127-16:41:44-16436,param,,,**.antenna.isBinomial,true,
General-18-20200127-16:41:50-10504,runattr,,,configname,General,
General-18-20200127-16:41:50-10504,runattr,,,datetime,20200127-16:41:50,
General-18-20200127-16:41:50-10504,runattr,,,experiment,General,
General-18-20200127-16:41:50-10504,runattr,,,inifile,omnetpp.ini,
General-18-20200127-16:41:50-10504,runattr,,,iterationvars,,
General-18-20200127-16:41:50-10504,runattr,,,iterationvarsf,,
General-18-20200127-16:41:50-10504,runattr,,,measurement,,
General-18-20200127-16:41:50-10504,runattr,,,network,CellularNetwork,
General-18-20200127-16:41:50-10504,runattr,,,processid,10504,
General-18-20200127-16:41:50-10504,runattr,,,repetition,18,
General-18-20200127-16:41:50-10504,runattr,,,replication,#18,
General-18-20200127-16:41:50-10504,runattr,,,resultdir,results,
General-18-20200127-16:41:50-10504,runattr,,,runnumber,18,
General-18-20200127-16:41:50-10504,runattr,,,seedset,18,
General-18-20200127-16:41:50-10504,param,,,**.nUsers,10,
General-18-20200127-16:41:50-10504,param,,,**.antenna.timeslot,1ms,
General-18-20200127-16:41:50-10504,param,,,**.antenna.lambda,2ms,
