run,type,module,name,attrname,attrvalue,value
General-53-20200224-18:11:23-19804,runattr,,,configname,General,
General-53-20200224-18:11:23-19804,runattr,,,datetime,20200224-18:11:23,
General-53-20200224-18:11:23-19804,runattr,,,experiment,General,
General-53-20200224-18:11:23-19804,runattr,,,inifile,omnetpp.ini,
General-53-20200224-18:11:23-19804,runattr,,,iterationvars,$0=5ms,
General-53-20200224-18:11:23-19804,runattr,,,iterationvarsf,5ms-,
General-53-20200224-18:11:23-19804,runattr,,,measurement,$0=5ms,
General-53-20200224-18:11:23-19804,runattr,,,network,CellularNetwork,
General-53-20200224-18:11:23-19804,runattr,,,processid,19804,
General-53-20200224-18:11:23-19804,runattr,,,repetition,53,
General-53-20200224-18:11:23-19804,runattr,,,replication,#53,
General-53-20200224-18:11:23-19804,runattr,,,resultdir,results,
General-53-20200224-18:11:23-19804,runattr,,,runnumber,53,
General-53-20200224-18:11:23-19804,runattr,,,seedset,53,
General-53-20200224-18:11:23-19804,param,,,**.nUsers,10,
General-53-20200224-18:11:23-19804,param,,,**.antenna.timeslot,1ms,
General-53-20200224-18:11:23-19804,param,,,**.antenna.lambda,5ms,
General-53-20200224-18:11:23-19804,param,,,**.antenna.successProbGroup1,0.125,
General-53-20200224-18:11:23-19804,param,,,**.antenna.successProbGroup2,0.25,
General-53-20200224-18:11:23-19804,param,,,**.antenna.successProbGroup3,0.625,
General-53-20200224-18:11:23-19804,param,,,**.antenna.isBinomial,false,
General-55-20200224-18:11:26-20988,runattr,,,configname,General,
General-55-20200224-18:11:26-20988,runattr,,,datetime,20200224-18:11:26,
General-55-20200224-18:11:26-20988,runattr,,,experiment,General,
General-55-20200224-18:11:26-20988,runattr,,,inifile,omnetpp.ini,
General-55-20200224-18:11:26-20988,runattr,,,iterationvars,$0=5ms,
General-55-20200224-18:11:26-20988,runattr,,,iterationvarsf,5ms-,
General-55-20200224-18:11:26-20988,runattr,,,measurement,$0=5ms,
General-55-20200224-18:11:26-20988,runattr,,,network,CellularNetwork,
General-55-20200224-18:11:26-20988,runattr,,,processid,20988,
General-55-20200224-18:11:26-20988,runattr,,,repetition,55,
General-55-20200224-18:11:26-20988,runattr,,,replication,#55,
General-55-20200224-18:11:26-20988,runattr,,,resultdir,results,
General-55-20200224-18:11:26-20988,runattr,,,runnumber,55,
General-55-20200224-18:11:26-20988,runattr,,,seedset,55,
General-55-20200224-18:11:26-20988,param,,,**.nUsers,10,
General-55-20200224-18:11:26-20988,param,,,**.antenna.timeslot,1ms,
General-55-20200224-18:11:26-20988,param,,,**.antenna.lambda,5ms,
General-55-20200224-18:11:26-20988,param,,,**.antenna.successProbGroup1,0.125,
General-55-20200224-18:11:26-20988,param,,,**.antenna.successProbGroup2,0.25,
General-55-20200224-18:11:26-20988,param,,,**.antenna.successProbGroup3,0.625,
General-55-20200224-18:11:26-20988,param,,,**.antenna.isBinomial,false,
General-57-20200224-18:11:29-12844,runattr,,,configname,General,
General-57-20200224-18:11:29-12844,runattr,,,datetime,20200224-18:11:29,
General-57-20200224-18:11:29-12844,runattr,,,experiment,General,
General-57-20200224-18:11:29-12844,runattr,,,inifile,omnetpp.ini,
General-57-20200224-18:11:29-12844,runattr,,,iterationvars,$0=5ms,
General-57-20200224-18:11:29-12844,runattr,,,iterationvarsf,5ms-,
General-57-20200224-18:11:29-12844,runattr,,,measurement,$0=5ms,
General-57-20200224-18:11:29-12844,runattr,,,network,CellularNetwork,
General-57-20200224-18:11:29-12844,runattr,,,processid,12844,
General-57-20200224-18:11:29-12844,runattr,,,repetition,57,
General-57-20200224-18:11:29-12844,runattr,,,replication,#57,
General-57-20200224-18:11:29-12844,runattr,,,resultdir,results,
General-57-20200224-18:11:29-12844,runattr,,,runnumber,57,
General-57-20200224-18:11:29-12844,runattr,,,seedset,57,
General-57-20200224-18:11:29-12844,param,,,**.nUsers,10,
General-57-20200224-18:11:29-12844,param,,,**.antenna.timeslot,1ms,
General-57-20200224-18:11:29-12844,param,,,**.antenna.lambda,5ms,
General-57-20200224-18:11:29-12844,param,,,**.antenna.successProbGroup1,0.125,
General-57-20200224-18:11:29-12844,param,,,**.antenna.successProbGroup2,0.25,
General-57-20200224-18:11:29-12844,param,,,**.antenna.successProbGroup3,0.625,
General-57-20200224-18:11:29-12844,param,,,**.antenna.isBinomial,false,
General-62-20200224-18:11:37-13992,runattr,,,configname,General,
General-62-20200224-18:11:37-13992,runattr,,,datetime,20200224-18:11:37,
General-62-20200224-18:11:37-13992,runattr,,,experiment,General,
General-62-20200224-18:11:37-13992,runattr,,,inifile,omnetpp.ini,
General-62-20200224-18:11:37-13992,runattr,,,iterationvars,$0=5ms,
