run,type,module,name,attrname,attrvalue,value
General-17-20200127-18:31:47-13668,runattr,,,datetime,20200127-18:31:47,
General-17-20200127-18:31:47-13668,runattr,,,experiment,General,
General-17-20200127-18:31:47-13668,runattr,,,inifile,omnetpp.ini,
General-17-20200127-18:31:47-13668,runattr,,,iterationvars,,
General-17-20200127-18:31:47-13668,runattr,,,iterationvarsf,,
General-17-20200127-18:31:47-13668,runattr,,,measurement,,
General-17-20200127-18:31:47-13668,runattr,,,network,CellularNetwork,
General-17-20200127-18:31:47-13668,runattr,,,processid,13668,
General-17-20200127-18:31:47-13668,runattr,,,repetition,17,
General-17-20200127-18:31:47-13668,runattr,,,replication,#17,
General-17-20200127-18:31:47-13668,runattr,,,resultdir,results,
General-17-20200127-18:31:47-13668,runattr,,,runnumber,17,
General-17-20200127-18:31:47-13668,runattr,,,seedset,17,
General-17-20200127-18:31:47-13668,param,,,**.nUsers,10,
General-17-20200127-18:31:47-13668,param,,,**.antenna.timeslot,1ms,
General-17-20200127-18:31:47-13668,param,,,**.antenna.lambda,5ms,
General-17-20200127-18:31:47-13668,param,,,**.antenna.successProbGroup1,0.2,
General-17-20200127-18:31:47-13668,param,,,**.antenna.successProbGroup2,0.5,
General-17-20200127-18:31:47-13668,param,,,**.antenna.successProbGroup3,0.9,
General-17-20200127-18:31:47-13668,param,,,**.antenna.isBinomial,false,
General-18-20200127-18:31:55-4012,runattr,,,configname,General,
General-18-20200127-18:31:55-4012,runattr,,,datetime,20200127-18:31:55,
General-18-20200127-18:31:55-4012,runattr,,,experiment,General,
General-18-20200127-18:31:55-4012,runattr,,,inifile,omnetpp.ini,
General-18-20200127-18:31:55-4012,runattr,,,iterationvars,,
General-18-20200127-18:31:55-4012,runattr,,,iterationvarsf,,
General-18-20200127-18:31:55-4012,runattr,,,measurement,,
General-18-20200127-18:31:55-4012,runattr,,,network,CellularNetwork,
General-18-20200127-18:31:55-4012,runattr,,,processid,4012,
General-18-20200127-18:31:55-4012,runattr,,,repetition,18,
General-18-20200127-18:31:55-4012,runattr,,,replication,#18,
General-18-20200127-18:31:55-4012,runattr,,,resultdir,results,
General-18-20200127-18:31:55-4012,runattr,,,runnumber,18,
General-18-20200127-18:31:55-4012,runattr,,,seedset,18,
General-18-20200127-18:31:55-4012,param,,,**.nUsers,10,
General-18-20200127-18:31:55-4012,param,,,**.antenna.timeslot,1ms,
General-18-20200127-18:31:55-4012,param,,,**.antenna.lambda,5ms,
General-18-20200127-18:31:55-4012,param,,,**.antenna.successProbGroup1,0.2,
General-18-20200127-18:31:55-4012,param,,,**.antenna.successProbGroup2,0.5,
General-18-20200127-18:31:55-4012,param,,,**.antenna.successProbGroup3,0.9,
General-18-20200127-18:31:55-4012,param,,,**.antenna.isBinomial,false,
General-19-20200127-18:32:03-17540,runattr,,,configname,General,
General-19-20200127-18:32:03-17540,runattr,,,datetime,20200127-18:32:03,
General-19-20200127-18:32:03-17540,runattr,,,experiment,General,
General-19-20200127-18:32:03-17540,runattr,,,inifile,omnetpp.ini,
General-19-20200127-18:32:03-17540,runattr,,,iterationvars,,
General-19-20200127-18:32:03-17540,runattr,,,iterationvarsf,,
General-19-20200127-18:32:03-17540,runattr,,,measurement,,
General-19-20200127-18:32:03-17540,runattr,,,network,CellularNetwork,
General-19-20200127-18:32:03-17540,runattr,,,processid,17540,
General-19-20200127-18:32:03-17540,runattr,,,repetition,19,
General-19-20200127-18:32:03-17540,runattr,,,replication,#19,
General-19-20200127-18:32:03-17540,runattr,,,resultdir,results,
General-19-20200127-18:32:03-17540,runattr,,,runnumber,19,
General-19-20200127-18:32:03-17540,runattr,,,seedset,19,
General-19-20200127-18:32:03-17540,param,,,**.nUsers,10,
General-19-20200127-18:32:03-17540,param,,,**.antenna.timeslot,1ms,
General-19-20200127-18:32:03-17540,param,,,**.antenna.lambda,5ms,
General-19-20200127-18:32:03-17540,param,,,**.antenna.successProbGroup1,0.2,
General-19-20200127-18:32:03-17540,param,,,**.antenna.successProbGroup2,0.5,
General-19-20200127-18:32:03-17540,param,,,**.antenna.successProbGroup3,0.9,
General-19-20200127-18:32:03-17540,param,,,**.antenna.isBinomial,false,
General-2-20200127-18:30:11-8924,runattr,,,configname,General,
General-2-20200127-18:30:11-8924,runattr,,,datetime,20200127-18:30:11,
General-2-20200127-18:30:11-8924,runattr,,,experiment,General,
General-2-20200127-18:30:11-8924,runattr,,,inifile,omnetpp.ini,
General-2-20200127-18:30:11-8924,runattr,,,iterationvars,,
General-2-20200127-18:30:11-8924,runattr,,,iterationvarsf,,
General-2-20200127-18:30:11-8924,runattr,,,measurement,,
General-2-20200127-18:30:11-8924,runattr,,,network,CellularNetwork,
General-2-20200127-18:30:11-8924,runattr,,,processid,8924,
General-2-20200127-18:30:11-8924,runattr,,,repetition,2,
General-2-20200127-18:30:11-8924,runattr,,,replication,#2,
General-2-20200127-18:30:11-8924,runattr,,,resultdir,results,
General-2-20200127-18:30:11-8924,runattr,,,runnumber,2,
General-2-20200127-18:30:11-8924,runattr,,,seedset,2,
General-2-20200127-18:30:11-8924,param,,,**.nUsers,10,
General-2-20200127-18:30:11-8924,param,,,**.antenna.timeslot,1ms,
General-2-20200127-18:30:11-8924,param,,,**.antenna.lambda,5ms,
General-2-20200127-18:30:11-8924,param,,,**.antenna.successProbGroup1,0.2,
General-2-20200127-18:30:11-8924,param,,,**.antenna.successProbGroup2,0.5,
General-2-20200127-18:30:11-8924,param,,,**.antenna.successProbGroup3,0.9,
General-2-20200127-18:30:11-8924,param,,,**.antenna.isBinomial,false,
General-22-20200127-18:32:28-4692,runattr,,,configname,General,
General-22-20200127-18:32:28-4692,runattr,,,datetime,20200127-18:32:28,
General-22-20200127-18:32:28-4692,runattr,,,experiment,General,
General-22-20200127-18:32:28-4692,runattr,,,inifile,omnetpp.ini,
General-22-20200127-18:32:28-4692,runattr,,,iterationvars,,
General-22-20200127-18:32:28-4692,runattr,,,iterationvarsf,,
General-22-20200127-18:32:28-4692,runattr,,,measurement,,
General-22-20200127-18:32:28-4692,runattr,,,network,CellularNetwork,
General-22-20200127-18:32:28-4692,runattr,,,processid,4692,
General-22-20200127-18:32:28-4692,runattr,,,repetition,22,
General-22-20200127-18:32:28-4692,runattr,,,replication,#22,
General-22-20200127-18:32:28-4692,runattr,,,resultdir,results,
General-22-20200127-18:32:28-4692,runattr,,,runnumber,22,
General-22-20200127-18:32:28-4692,runattr,,,seedset,22,
General-22-20200127-18:32:28-4692,param,,,**.nUsers,10,
General-22-20200127-18:32:28-4692,param,,,**.antenna.timeslot,1ms,
General-22-20200127-18:32:28-4692,param,,,**.antenna.lambda,5ms,
General-22-20200127-18:32:28-4692,param,,,**.antenna.successProbGroup1,0.2,
General-22-20200127-18:32:28-4692,param,,,**.antenna.successProbGroup2,0.5,
General-22-20200127-18:32:28-4692,param,,,**.antenna.successProbGroup3,0.9,
General-22-20200127-18:32:28-4692,param,,,**.antenna.isBinomial,false,
General-36-20200127-18:34:32-11168,runattr,,,configname,General,
General-36-20200127-18:34:32-11168,runattr,,,datetime,20200127-18:34:32,
General-36-20200127-18:34:32-11168,runattr,,,experiment,General,
General-36-20200127-18:34:32-11168,runattr,,,inifile,omnetpp.ini,
General-36-20200127-18:34:32-11168,runattr,,,iterationvars,,
General-36-20200127-18:34:32-11168,runattr,,,iterationvarsf,,
General-36-20200127-18:34:32-11168,runattr,,,measurement,,
General-36-20200127-18:34:32-11168,runattr,,,network,CellularNetwork,
General-36-20200127-18:34:32-11168,runattr,,,processid,11168,
General-36-20200127-18:34:32-11168,runattr,,,repetition,36,
General-36-20200127-18:34:32-11168,runattr,,,replication,#36,
General-36-20200127-18:34:32-11168,runattr,,,resultdir,results,
General-36-20200127-18:34:32-11168,runattr,,,runnumber,36,
General-36-20200127-18:34:32-11168,runattr,,,seedset,36,
General-36-20200127-18:34:32-11168,param,,,**.nUsers,10,
General-36-20200127-18:34:32-11168,param,,,**.antenna.timeslot,1ms,
General-36-20200127-18:34:32-11168,param,,,**.antenna.lambda,5ms,
General-36-20200127-18:34:32-11168,param,,,**.antenna.successProbGroup1,0.2,
General-36-20200127-18:34:32-11168,param,,,**.antenna.successProbGroup2,0.5,
General-36-20200127-18:34:32-11168,param,,,**.antenna.successProbGroup3,0.9,
General-36-20200127-18:34:32-11168,param,,,**.antenna.isBinomial,false,
General-23-20200127-18:32:36-12008,runattr,,,configname,General,
General-23-20200127-18:32:36-12008,runattr,,,datetime,20200127-18:32:36,
General-23-20200127-18:32:36-12008,runattr,,,experiment,General,
General-23-20200127-18:32:36-12008,runattr,,,inifile,omnetpp.ini,
General-23-20200127-18:32:36-12008,runattr,,,iterationvars,,
General-23-20200127-18:32:36-12008,runattr,,,iterationvarsf,,
General-23-20200127-18:32:36-12008,runattr,,,measurement,,
General-23-20200127-18:32:36-12008,runattr,,,network,CellularNetwork,
General-23-20200127-18:32:36-12008,runattr,,,processid,12008,
General-23-20200127-18:32:36-12008,runattr,,,repetition,23,
General-23-20200127-18:32:36-12008,runattr,,,replication,#23,
General-23-20200127-18:32:36-12008,runattr,,,resultdir,results,
General-23-20200127-18:32:36-12008,runattr,,,runnumber,23,
General-23-20200127-18:32:36-12008,runattr,,,seedset,23,
General-23-20200127-18:32:36-12008,param,,,**.nUsers,10,
General-23-20200127-18:32:36-12008,param,,,**.antenna.timeslot,1ms,
General-23-20200127-18:32:36-12008,param,,,**.antenna.lambda,5ms,
General-23-20200127-18:32:36-12008,param,,,**.antenna.successProbGroup1,0.2,
General-23-20200127-18:32:36-12008,param,,,**.antenna.successProbGroup2,0.5,
General-23-20200127-18:32:36-12008,param,,,**.antenna.successProbGroup3,0.9,
General-23-20200127-18:32:36-12008,param,,,**.antenna.isBinomial,false,
General-28-20200127-18:33:17-19128,runattr,,,configname,General,
General-28-20200127-18:33:17-19128,runattr,,,datetime,20200127-18:33:17,
General-28-20200127-18:33:17-19128,runattr,,,experiment,General,
General-28-20200127-18:33:17-19128,runattr,,,inifile,omnetpp.ini,
General-28-20200127-18:33:17-19128,runattr,,,iterationvars,,
General-28-20200127-18:33:17-19128,runattr,,,iterationvarsf,,
General-28-20200127-18:33:17-19128,runattr,,,measurement,,
General-28-20200127-18:33:17-19128,runattr,,,network,CellularNetwork,
General-28-20200127-18:33:17-19128,runattr,,,processid,19128,
General-28-20200127-18:33:17-19128,runattr,,,repetition,28,
General-28-20200127-18:33:17-19128,runattr,,,replication,#28,
General-28-20200127-18:33:17-19128,runattr,,,resultdir,results,
General-28-20200127-18:33:17-19128,runattr,,,runnumber,28,
General-28-20200127-18:33:17-19128,runattr,,,seedset,28,
General-28-20200127-18:33:17-19128,param,,,**.nUsers,10,
General-28-20200127-18:33:17-19128,param,,,**.antenna.timeslot,1ms,
General-28-20200127-18:33:17-19128,param,,,**.antenna.lambda,5ms,
General-28-20200127-18:33:17-19128,param,,,**.antenna.successProbGroup1,0.2,
General-28-20200127-18:33:17-19128,param,,,**.antenna.successProbGroup2,0.5,
General-28-20200127-18:33:17-19128,param,,,**.antenna.successProbGroup3,0.9,
General-28-20200127-18:33:17-19128,param,,,**.antenna.isBinomial,false,
General-32-20200127-18:33:54-16564,runattr,,,configname,General,
General-32-20200127-18:33:54-16564,runattr,,,datetime,20200127-18:33:54,
General-32-20200127-18:33:54-16564,runattr,,,experiment,General,
General-32-20200127-18:33:54-16564,runattr,,,inifile,omnetpp.ini,
General-32-20200127-18:33:54-16564,runattr,,,iterationvars,,
General-32-20200127-18:33:54-16564,runattr,,,iterationvarsf,,
General-32-20200127-18:33:54-16564,runattr,,,measurement,,
General-32-20200127-18:33:54-16564,runattr,,,network,CellularNetwork,
General-32-20200127-18:33:54-16564,runattr,,,processid,16564,
General-32-20200127-18:33:54-16564,runattr,,,repetition,32,
General-32-20200127-18:33:54-16564,runattr,,,replication,#32,
General-32-20200127-18:33:54-16564,runattr,,,resultdir,results,
General-32-20200127-18:33:54-16564,runattr,,,runnumber,32,
General-32-20200127-18:33:54-16564,runattr,,,seedset,32,
General-32-20200127-18:33:54-16564,param,,,**.nUsers,10,
General-32-20200127-18:33:54-16564,param,,,**.antenna.timeslot,1ms,
General-32-20200127-18:33:54-16564,param,,,**.antenna.lambda,5ms,
General-32-20200127-18:33:54-16564,param,,,**.antenna.successProbGroup1,0.2,
General-32-20200127-18:33:54-16564,param,,,**.antenna.successProbGroup2,0.5,
General-32-20200127-18:33:54-16564,param,,,**.antenna.successProbGroup3,0.9,
General-32-20200127-18:33:54-16564,param,,,**.antenna.isBinomial,false,
General-35-20200127-18:34:24-2348,runattr,,,configname,General,
General-35-20200127-18:34:24-2348,runattr,,,datetime,20200127-18:34:24,
General-35-20200127-18:34:24-2348,runattr,,,experiment,General,
General-35-20200127-18:34:24-2348,runattr,,,inifile,omnetpp.ini,
General-35-20200127-18:34:24-2348,runattr,,,iterationvars,,
General-35-20200127-18:34:24-2348,runattr,,,iterationvarsf,,
General-35-20200127-18:34:24-2348,runattr,,,measurement,,
General-35-20200127-18:34:24-2348,runattr,,,network,CellularNetwork,
General-35-20200127-18:34:24-2348,runattr,,,processid,2348,
General-35-20200127-18:34:24-2348,runattr,,,repetition,35,
General-35-20200127-18:34:24-2348,runattr,,,replication,#35,
General-35-20200127-18:34:24-2348,runattr,,,resultdir,results,
General-35-20200127-18:34:24-2348,runattr,,,runnumber,35,
General-35-20200127-18:34:24-2348,runattr,,,seedset,35,
General-35-20200127-18:34:24-2348,param,,,**.nUsers,10,
General-35-20200127-18:34:24-2348,param,,,**.antenna.timeslot,1ms,
General-35-20200127-18:34:24-2348,param,,,**.antenna.lambda,5ms,
General-35-20200127-18:34:24-2348,param,,,**.antenna.successProbGroup1,0.2,
General-35-20200127-18:34:24-2348,param,,,**.antenna.successProbGroup2,0.5,
General-35-20200127-18:34:24-2348,param,,,**.antenna.successProbGroup3,0.9,
General-35-20200127-18:34:24-2348,param,,,**.antenna.isBinomial,false,
General-24-20200127-18:32:44-12604,runattr,,,configname,General,
General-24-20200127-18:32:44-12604,runattr,,,datetime,20200127-18:32:44,
General-24-20200127-18:32:44-12604,runattr,,,experiment,General,
General-24-20200127-18:32:44-12604,runattr,,,inifile,omnetpp.ini,
General-24-20200127-18:32:44-12604,runattr,,,iterationvars,,
General-24-20200127-18:32:44-12604,runattr,,,iterationvarsf,,
General-24-20200127-18:32:44-12604,runattr,,,measurement,,
General-24-20200127-18:32:44-12604,runattr,,,network,CellularNetwork,
General-24-20200127-18:32:44-12604,runattr,,,processid,12604,
General-24-20200127-18:32:44-12604,runattr,,,repetition,24,
General-24-20200127-18:32:44-12604,runattr,,,replication,#24,
General-24-20200127-18:32:44-12604,runattr,,,resultdir,results,
General-24-20200127-18:32:44-12604,runattr,,,runnumber,24,
General-24-20200127-18:32:44-12604,runattr,,,seedset,24,
General-24-20200127-18:32:44-12604,param,,,**.nUsers,10,
General-24-20200127-18:32:44-12604,param,,,**.antenna.timeslot,1ms,
General-24-20200127-18:32:44-12604,param,,,**.antenna.lambda,5ms,
General-24-20200127-18:32:44-12604,param,,,**.antenna.successProbGroup1,0.2,
General-24-20200127-18:32:44-12604,param,,,**.antenna.successProbGroup2,0.5,
General-24-20200127-18:32:44-12604,param,,,**.antenna.successProbGroup3,0.9,
General-24-20200127-18:32:44-12604,param,,,**.antenna.isBinomial,false,
General-33-20200127-18:34:03-14420,runattr,,,configname,General,
General-33-20200127-18:34:03-14420,runattr,,,datetime,20200127-18:34:03,
General-33-20200127-18:34:03-14420,runattr,,,experiment,General,
General-33-20200127-18:34:03-14420,runattr,,,inifile,omnetpp.ini,
